,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"WAP (feat. Megan Thee Stallion)","Cardi B",1324636,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
2,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",1320962,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
3,"Mood (feat. Iann Dior)",24kGoldn,1317026,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
4,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",1162177,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
5,"Laugh Now Cry Later (feat. Lil Durk)",Drake,1131727,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
6,"Dreams - 2004 Remaster","Fleetwood Mac",1029307,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
7,"Mr. Right Now (feat. Drake)","21 Savage",940480,https://open.spotify.com/track/4Q34FP1AT7GEl9oLgNtiWj
8,"What You Know Bout Love","Pop Smoke",938463,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
9,Runnin,"21 Savage",821073,https://open.spotify.com/track/5SWnsxjhdcEDc7LJjq9UHk
10,"Holy (feat. Chance The Rapper)","Justin Bieber",795390,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
11,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,754680,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
12,"Come & Go (with Marshmello)","Juice WRLD",717109,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
13,Wonder,"Shawn Mendes",714419,https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb
14,Dynamite,BTS,711383,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
15,"Wishing Well","Juice WRLD",703396,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
16,"Blinding Lights","The Weeknd",698240,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
17,"POPSTAR (feat. Drake)","DJ Khaled",668109,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
18,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",655493,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
19,Heather,"Conan Gray",654368,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
